,date,open,high,low,close,volume,adj_factor
729,2020-03-11,2.4637450600542428,2.4923932584269664,2.463649566059667,2.4647,1161,0.9549399457574584
730,2020-03-12,2.2059583333333332,2.4828968253968253,2.2059583333333332,2.4065,1614,0.9549603174603174
731,2020-03-13,2.482896,2.482896,2.2966788,2.3874,1647,0.95496
732,2020-03-16,2.387396694214876,2.387396694214876,2.285025123966942,2.311,1406,0.9549586776859504
733,2020-03-17,2.272791818181818,2.272791818181818,2.1009,2.1009,6098,0.9549545454545455
734,2020-03-18,2.1009,2.1009,2.1009,2.1009,70,0.9549545454545455
735,2020-03-19,2.3253235416666667,2.3253235416666667,2.2919,2.2919,347,0.9549583333333334
736,2020-03-20,2.2059,2.2059,2.2059,2.2059,112,0.954935064935065
737,2020-03-23,2.1369,2.1369,2.1369,2.1369,217,0.9549537471510926
738,2020-03-24,2.339647916666667,2.339647916666667,2.2919,2.2919,418,0.9549583333333334
739,2020-03-25,2.1964012828978396,2.1964012828978396,2.0247,2.0247,1063,0.9549570795208
740,2020-03-26,2.1868495614035086,2.1868495614035086,1.9863087719298247,2.1773,1616,0.9549561403508772
741,2020-03-27,2.1486,2.1486,2.1096387200000004,2.1486,510,0.9549333333333334
742,2020-03-30,2.1485915492957743,2.1485915492957743,2.034,2.034,364,0.9549295774647887
743,2020-03-31,2.0149,2.0149,2.0149,2.0149,257,0.9549289099526066
744,2020-04-01,2.0149027906976746,2.0531,2.0149027906976746,2.0531,647,0.9549302325581397
745,2020-04-02,2.091345714285714,2.091345714285714,1.8239590476190475,2.0054,3592,0.9549523809523809
746,2020-04-03,1.9958504761904758,2.0054,1.938553333333333,2.0054,494,0.9549523809523809
747,2020-04-06,2.0053574660633484,2.1104,2.0053574660633484,2.1104,904,0.9549321266968325
748,2020-04-07,2.1008493150684933,2.1008493150684933,1.8143698630136984,2.0913,1269,0.954931506849315
749,2020-04-08,1.843059813084112,2.0436,1.843059813084112,2.0436,494,0.9549532710280374
750,2020-04-09,2.0530942028985506,2.0530942028985506,1.8868413188405797,1.9767,2654,0.9549275362318841
751,2020-04-13,1.9767,1.9767,1.9767,1.9767,26,0.9549275362318841
752,2020-04-14,1.8717039215686275,1.9481,1.8138338921568626,1.9481,1791,0.9549509803921569
753,2020-04-15,1.909933093154915,1.909933093154915,1.7762377766340711,1.8555,2618,0.9549665465774575
754,2020-04-16,1.746557135678392,1.9098492462311558,1.746557135678392,1.9003,1775,0.9549246231155779
755,2020-04-17,1.9002953367875648,1.9002953367875648,1.843,1.843,602,0.9549222797927461
756,2020-04-20,1.862197297297297,1.862197297297297,1.7571502702702702,1.7667,885,0.9549729729729729
757,2020-04-21,1.7666946107784431,1.7666946107784431,1.5948,1.5948,7644,0.9549700598802395
758,2020-04-22,1.8239966480446927,1.833546368715084,1.6425519553072627,1.7094,2775,0.9549720670391062
759,2020-04-23,1.7094,1.7094,1.7094,1.7094,94,0.9549720670391062
760,2020-04-24,1.816638147239264,1.8334456073619632,1.5345402085889572,1.5566,30481,0.9549693251533743
761,2020-04-27,1.527950920245399,1.6585907239263804,1.5250860122699388,1.5566,4237,0.9549693251533743
762,2020-04-28,1.5088509316770187,1.7093944099378882,1.5088509316770187,1.5375,7393,0.9549689440993788
763,2020-04-29,1.5375040000000002,1.7025230628571428,1.5375040000000002,1.6712,10270,0.9549714285714286
764,2020-04-30,1.6997746478873241,1.71887323943662,1.6795301408450705,1.695,2573,0.9549295774647888
765,2020-05-01,1.547008988764045,1.7188988764044943,1.547008988764045,1.6998,937,0.954943820224719
766,2020-05-04,1.7189491525423728,1.7189491525423728,1.6377765536723163,1.6903,938,0.9549717514124293
767,2020-05-05,1.5756583333333334,1.7189,1.5756583333333334,1.7189,813,0.9549444444444445
768,2020-05-06,1.7189497206703912,1.7189497206703912,1.7094,1.7094,515,0.9549720670391062
769,2020-05-07,1.7094,1.7094,1.7094,1.7094,955,0.9549720670391062
770,2020-05-08,1.6425519553072627,1.7094,1.6425519553072627,1.7094,1489,0.9549720670391062
771,2020-05-11,1.7189491525423728,1.785797175141243,1.6903,1.6903,14678,0.9549717514124293
